"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"5824",1680546178,"QuantificationalMatch",10,12,"Yes","Quantificational","de cine.",520,6.25382881157547,1
"5825",1680546178,"QuantificationalMatch",10,3,"Yes","Quantificational","ningun actor",194,5.26785815906333,1
"5826",1680546178,"QuantificationalMatch",10,5,"Yes","Quantificational","en",204,5.31811999384422,1
"5827",1680546178,"QuantificationalMatch",10,6,"Yes","Quantificational","la premier",410,6.01615715969835,1
"5828",1680546178,"QuantificationalMatch",10,7,"Yes","Quantificational","deberian",273,5.60947179518496,1
"5829",1680546178,"QuantificationalMatch",10,1,"Yes","Quantificational","a las",146,4.98360662170834,1
"5830",1680546178,"QuantificationalMatch",10,2,"Yes","Quantificational","que",252,5.52942908751142,1
"5831",1680546178,"QuantificationalMatch",10,4,"Yes","Quantificational","saludo",240,5.48063892334199,1
"5832",1680546178,"QuantificationalMatch",10,0,"Yes","Quantificational","Las admiradoras",187,5.23110861685459,1
"5833",1680546178,"QuantificationalMatch",14,11,"Yes","Quantificational","organica.",499,6.21260609575152,1
"5834",1680629231,"QuantificationalMatch",10,7,"Yes","Quantificational","deberian",686,6.53087762772588,1
"5835",1680711125,"QuantificationalMatch",13,9,"Yes","Quantificational","ante",344,5.8406416573734,1
"5836",1680711125,"QuantificationalMatch",13,7,"Yes","Quantificational","quieren",249,5.51745289646471,1
"5837",1681834820,"QuantificationalMatch",14,7,"Yes","Quantificational","deberÃ­an",739,6.6052979209482,1
"5838",1681834820,"QuantificationalMatch",14,8,"Yes","Quantificational","echarla",821,6.71052310945243,1
"5839",1680626215,"QuantificationalMatch",11,10,"Yes","Quantificational","pistas falsas",868,6.76619171466035,1
"5840",1680626215,"QuantificationalMatch",11,11,"Yes","Quantificational","en",571,6.34738920965601,1
"5841",1680626215,"QuantificationalMatch",11,12,"Yes","Quantificational","el correo.",555,6.31896811374643,1
"5842",1680626215,"QuantificationalMatch",11,3,"Yes","Quantificational","ningun investigador",1348,7.20637729147225,1
"5843",1680540123,"QuantificationalMatch",1,3,"Yes","Quantificational","ningun chico",344,5.8406416573734,1
"5844",1680540123,"QuantificationalMatch",1,11,"Yes","Quantificational","grupo",530,6.27287700654617,1
"5845",1680629231,"QuantificationalMatch",14,8,"Yes","Quantificational","echarla",653,6.48157712927643,1
"5846",1681829549,"QuantificationalMatch",13,5,"Yes","Quantificational","para",268,5.59098698051086,1
"5847",1680710476,"QuantificationalMatch",19,9,"Yes","Quantificational","ante",326,5.78689738136671,1
"5848",1681829549,"QuantificationalMatch",13,9,"Yes","Quantificational","ante",344,5.8406416573734,1
"5849",1681829549,"QuantificationalMatch",13,10,"Yes","Quantificational","el ComitÃ©",276,5.62040086571715,1
"5850",1681829549,"QuantificationalMatch",13,11,"Yes","Quantificational","de Recursos",700,6.5510803350434,1
"5851",1680626215,"QuantificationalMatch",15,4,"Yes","Quantificational","atendio",720,6.5792512120101,1
"5852",1680714619,"QuantificationalMatch",12,6,"Yes","Quantificational","el castillo",400,5.99146454710798,1
"5853",1680714619,"QuantificationalMatch",12,11,"Yes","Quantificational","enemigo.",704,6.55677835615804,1
"5854",1680714619,"QuantificationalMatch",12,3,"Yes","Quantificational","ningun capitan",496,6.20657592672493,1
"5855",1680717894,"QuantificationalMatch",16,4,"Yes","Quantificational","voto",456,6.12249280951439,1
"5856",1680714619,"QuantificationalMatch",12,4,"Yes","Quantificational","entreno",432,6.06842558824411,1
"5857",1680714619,"QuantificationalMatch",12,8,"Yes","Quantificational","entregarlo",440,6.08677472691231,1
"5858",1680714619,"QuantificationalMatch",12,9,"Yes","Quantificational","al ejercito",384,5.95064255258773,1
"5859",1680623508,"QuantificationalMatch",11,5,"Yes","Quantificational","tras",614,6.41999492814714,1
"5860",1680623508,"QuantificationalMatch",11,7,"Yes","Quantificational","van a",505,6.22455842927536,1
"5861",1680712699,"QuantificationalMatch",1,11,"Yes","Quantificational","grupo",363,5.89440283426485,1
"5862",1680712699,"QuantificationalMatch",1,3,"Yes","Quantificational","ningun chico",442,6.0913098820777,1
"5863",1680623508,"QuantificationalMatch",11,4,"Yes","Quantificational","atrapo",750,6.62007320653036,1
"5864",1680623508,"QuantificationalMatch",11,12,"Yes","Quantificational","el correo.",497,6.20859002609663,1
"5865",1680623508,"QuantificationalMatch",11,10,"Yes","Quantificational","pistas falsas",1885,7.54168309988211,1
"5866",1680623508,"QuantificationalMatch",11,11,"Yes","Quantificational","en",530,6.27287700654617,1
"5867",1680623508,"QuantificationalMatch",11,3,"Yes","Quantificational","ningun investigador",1129,7.02908756414966,1
"5868",1680629231,"QuantificationalMatch",2,2,"Yes","Quantificational","que",368,5.90808293816893,1
