SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1680954397,ReferentialMismatch,8,8,No,Referential,lo van,283,5.645446897643238,1
1680954397,ReferentialMismatch,8,9,No,Referential,a sabotear,291,5.673323267171493,1
1680954397,ReferentialMismatch,8,10,No,Referential,durante,302,5.71042701737487,1
1680954397,ReferentialMismatch,8,11,No,Referential,la reunion,271,5.602118820879701,1
1680954397,ReferentialMismatch,8,12,No,Referential,con,353,5.8664680569332965,1
1680954397,ReferentialMismatch,8,13,No,Referential,los directivos.,347,5.849324779946859,1
1681217227,ReferentialMismatch,21,10,No,Referential,del concurso,577,6.3578422665081,1
1681217227,ReferentialMismatch,21,11,No,Referential,para jovenes,586,6.373319789577012,1
1681217227,ReferentialMismatch,21,12,No,Referential,artistas.,547,6.304448802421981,1
1681217227,ReferentialMismatch,5,1,No,Referential,Las disenadoras,659,6.490723534502507,1
1681217227,ReferentialMismatch,5,2,No,Referential,a las,740,6.606650186198215,1
1681217227,ReferentialMismatch,5,3,No,Referential,que,566,6.338594078203183,1
1681220581,ReferentialMismatch,5,9,No,Referential,sabotear,589,6.3784261836515865,1
1681220581,ReferentialMismatch,5,10,No,Referential,durante,424,6.049733455231958,1
1681220581,ReferentialMismatch,5,11,No,Referential,el desfile,573,6.35088571671474,1
1681220581,ReferentialMismatch,5,12,No,Referential,de,461,6.133398042996649,1
1681217227,ReferentialMismatch,5,8,No,Referential,lo quieren,655,6.484635235635252,1
1681061233,ReferentialMismatch,3,3,No,Referential,que,638,6.45833828334479,1
1681217227,ReferentialMismatch,5,9,No,Referential,sabotear,555,6.318968113746434,1
1681217227,ReferentialMismatch,5,10,No,Referential,durante,638,6.45833828334479,1
1681217227,ReferentialMismatch,5,11,No,Referential,el desfile,703,6.555356891810665,1
1681217227,ReferentialMismatch,5,12,No,Referential,de,410,6.016157159698354,1
1681217227,ReferentialMismatch,5,13,No,Referential,la coleccion,424,6.049733455231958,1
1681220581,ReferentialMismatch,9,5,No,Referential,no represento,447,6.102558594613569,1
1681220581,ReferentialMismatch,9,6,No,Referential,ante,612,6.416732282512326,1
1681220581,ReferentialMismatch,9,7,No,Referential,el tribunal,430,6.063785208687608,1
1681220581,ReferentialMismatch,9,8,No,Referential,lo quieren,720,6.579251212010101,1
1681220581,ReferentialMismatch,9,9,No,Referential,contratar,417,6.0330862217988015,1
1681220581,ReferentialMismatch,9,10,No,Referential,para,365,5.8998973535824915,1
1681220581,ReferentialMismatch,9,11,No,Referential,los tramites,449,6.1070228877422545,1
1681220581,ReferentialMismatch,9,12,No,Referential,del divorcio.,572,6.349138991379798,1
1681055988,ReferentialMismatch,24,10,No,Referential,durante,322,5.7745515455444085,1
1681055988,ReferentialMismatch,24,11,No,Referential,la proxima,406,6.0063531596017325,1
1681055988,ReferentialMismatch,24,12,No,Referential,consulta online.,513,6.240275845170769,1
1681055988,ReferentialMismatch,4,1,No,Referential,Los espias,510,6.234410725718371,1
1681055988,ReferentialMismatch,4,2,No,Referential,a los,340,5.8289456176102075,1
1681055988,ReferentialMismatch,4,3,No,Referential,que,318,5.762051382780177,1
1681304042,ReferentialMismatch,14,8,No,Referential,la deberian,367,5.905361848054571,1
1681304042,ReferentialMismatch,14,9,No,Referential,echar,1368,7.221105098182496,1
1681304042,ReferentialMismatch,14,10,No,Referential,del curso,945,6.851184927493743,1
1681304042,ReferentialMismatch,14,11,No,Referential,de Quimica,423,6.0473721790462776,1
1681304042,ReferentialMismatch,14,12,No,Referential,organica.,344,5.840641657373398,1
1681304042,ReferentialMismatch,18,1,No,Referential,Los nietos,192,5.2574953720277815,1
1681304042,ReferentialMismatch,18,2,No,Referential,a los,208,5.337538079701318,1
1681304042,ReferentialMismatch,18,3,No,Referential,que,183,5.209486152841421,1
1681304042,ReferentialMismatch,18,4,No,Referential,el abuelo,209,5.342334251964811,1
1681304042,ReferentialMismatch,18,5,No,Referential,no ve,175,5.1647859739235145,1
1681142233,ReferentialMismatch,19,2,No,Referential,a las,401,5.993961427306569,1
1681142233,ReferentialMismatch,19,3,No,Referential,que,376,5.929589143389895,1
1681304042,ReferentialMismatch,18,9,No,Referential,llamar,192,5.2574953720277815,1
1681304042,ReferentialMismatch,18,10,No,Referential,desde,1064,6.96979066990159,1
1681304042,ReferentialMismatch,18,11,No,Referential,el telefono,489,6.192362489474872,1
1681304042,ReferentialMismatch,18,12,No,Referential,de,391,5.968707559985366,1
1681304042,ReferentialMismatch,18,13,No,Referential,la escuela.,256,5.545177444479562,1
1681304042,ReferentialMismatch,2,1,No,Referential,Los doctores,480,6.173786103901937,1
1681304042,ReferentialMismatch,2,2,No,Referential,a los,392,5.971261839790462,1
1681304042,ReferentialMismatch,2,3,No,Referential,que,345,5.84354441703136,1
1681304042,ReferentialMismatch,2,4,No,Referential,la enfermera,319,5.765191102784844,1
1681304042,ReferentialMismatch,2,5,No,Referential,no ayudo,225,5.41610040220442,1
1681044381,ReferentialMismatch,4,7,No,Referential,navideno,455,6.12029741895095,1
1681044381,ReferentialMismatch,4,8,No,Referential,lo intentaron,648,6.473890696352274,1
1681044381,ReferentialMismatch,4,9,No,Referential,asesinar,776,6.654152520183219,1
1681044381,ReferentialMismatch,4,10,No,Referential,delante,664,6.498282149476434,1
1681044381,ReferentialMismatch,4,11,No,Referential,de todos,424,6.049733455231958,1
1681044381,ReferentialMismatch,4,12,No,Referential,los comensales.,759,6.63200177739563,1
1681044381,ReferentialMismatch,8,1,No,Referential,Los ingenieros,984,6.891625897052253,1
1681044381,ReferentialMismatch,8,2,No,Referential,a los,687,6.532334292222349,1
1681044381,ReferentialMismatch,8,3,No,Referential,que,609,6.411818267709897,1
1681044381,ReferentialMismatch,8,4,No,Referential,la arquitecta,1200,7.090076835776092,1
1681044381,ReferentialMismatch,8,5,No,Referential,no quiere,608,6.410174881966167,1
1681044381,ReferentialMismatch,8,6,No,Referential,en,503,6.220590170099739,1
1681044381,ReferentialMismatch,8,7,No,Referential,el equipo,538,6.2878585601617845,1
1681044381,ReferentialMismatch,8,8,No,Referential,lo van,511,6.236369590203704,1
1681044381,ReferentialMismatch,8,9,No,Referential,a sabotear,616,6.423246963533519,1
1681044381,ReferentialMismatch,8,10,No,Referential,durante,583,6.368187186350492,1
1681044381,ReferentialMismatch,8,11,No,Referential,la reunion,769,6.645090969505644,1
1681044381,ReferentialMismatch,8,12,No,Referential,con,496,6.206575926724928,1
1681044381,ReferentialMismatch,8,13,No,Referential,los directivos.,672,6.5102583405231496,1
1680958710,ReferentialMismatch,19,8,No,Referential,la quieren,535,6.282266746896006,1
1681304042,ReferentialMismatch,6,3,No,Referential,que,359,5.883322388488279,1
1681304042,ReferentialMismatch,6,4,No,Referential,la refugiada,201,5.303304908059076,1
1681304042,ReferentialMismatch,6,5,No,Referential,no vio,1000,6.907755278982137,1
1681304042,ReferentialMismatch,6,6,No,Referential,en,408,6.0112671744041615,1
1681304042,ReferentialMismatch,6,7,No,Referential,la comisaria,392,5.971261839790462,1
1681304042,ReferentialMismatch,6,8,No,Referential,lo intentaron,544,6.298949246855942,1
1681304042,ReferentialMismatch,6,9,No,Referential,defender,392,5.971261839790462,1
1681304042,ReferentialMismatch,6,10,No,Referential,contra,416,6.030685260261263,1
1681304042,ReferentialMismatch,6,11,No,Referential,la Policia,409,6.013715156042802,1
1681304042,ReferentialMismatch,6,12,No,Referential,Municipal.,543,6.297109319933935,1
1680958710,ReferentialMismatch,23,6,No,Referential,durante,533,6.278521424165844,1
1680958710,ReferentialMismatch,23,7,No,Referential,la funcion,612,6.416732282512326,1
1680958710,ReferentialMismatch,23,8,No,Referential,la deberian,1298,7.168579897264035,1
1680958710,ReferentialMismatch,23,9,No,Referential,reganar,592,6.3835066348840055,1
1680958710,ReferentialMismatch,23,10,No,Referential,despues,612,6.416732282512326,1
1680958710,ReferentialMismatch,23,11,No,Referential,del espectaculo,687,6.532334292222349,1
1681135974,ReferentialMismatch,5,5,No,Referential,no ayudo,777,6.655440350367647,1
1681135974,ReferentialMismatch,5,6,No,Referential,en,531,6.274762021241939,1
1681135974,ReferentialMismatch,5,7,No,Referential,el taller,510,6.234410725718371,1
1681135974,ReferentialMismatch,5,8,No,Referential,lo quieren,603,6.401917196727186,1
1681135974,ReferentialMismatch,5,9,No,Referential,sabotear,491,6.19644412779452,1
1681135974,ReferentialMismatch,5,10,No,Referential,durante,488,6.1903154058531475,1
1681135974,ReferentialMismatch,5,11,No,Referential,el desfile,553,6.315358001522335,1
1681135974,ReferentialMismatch,5,12,No,Referential,de,465,6.142037405587356,1
1681135974,ReferentialMismatch,5,13,No,Referential,la coleccion,535,6.282266746896006,1
1681135974,ReferentialMismatch,5,14,No,Referential,de invierno.,497,6.208590026096629,1
1681135974,ReferentialMismatch,9,1,No,Referential,Las clientas,569,6.343880434126331,1
1681135974,ReferentialMismatch,9,2,No,Referential,a las,555,6.318968113746434,1
1681135974,ReferentialMismatch,9,3,No,Referential,que,445,6.09807428216624,1
1681135974,ReferentialMismatch,9,4,No,Referential,la abogada,468,6.148468295917647,1
1681135974,ReferentialMismatch,9,5,No,Referential,no represento,478,6.169610732491456,1
1680958710,ReferentialMismatch,7,3,No,Referential,que,383,5.948034989180646,1
1680958710,ReferentialMismatch,7,4,No,Referential,la jefa,573,6.35088571671474,1
1680958710,ReferentialMismatch,7,5,No,Referential,no nombro,422,6.045005314036012,1
1680958710,ReferentialMismatch,7,6,No,Referential,en,457,6.124683390894205,1
1680958710,ReferentialMismatch,7,7,No,Referential,la asamblea,611,6.415096959171596,1
1680958710,ReferentialMismatch,7,8,No,Referential,lo deberian,803,6.688354713946762,1
1681228530,ReferentialMismatch,24,9,No,Referential,a despedir,625,6.437751649736401,1
1680954809,ReferentialMismatch,9,4,No,Referential,la abogada,761,6.634633357861686,1
1681228530,ReferentialMismatch,24,11,No,Referential,la proxima,635,6.453624998892692,1
1681228530,ReferentialMismatch,24,12,No,Referential,consulta online.,1188,7.080026499922591,1
1681228530,ReferentialMismatch,4,1,No,Referential,Los espias,559,6.326149473155099,1
1681228530,ReferentialMismatch,4,2,No,Referential,a los,449,6.1070228877422545,1
1681228530,ReferentialMismatch,4,3,No,Referential,que,396,5.981414211254481,1
1681228530,ReferentialMismatch,4,4,No,Referential,la condesa,712,6.568077911411976,1
1681228530,ReferentialMismatch,4,5,No,Referential,no invito,742,6.60934924316738,1
1681228530,ReferentialMismatch,4,6,No,Referential,al banquete,649,6.47543271670409,1
1681228530,ReferentialMismatch,4,7,No,Referential,navideno,580,6.363028103540465,1
